id_venda,id_cliente,id_produto,quantidade,data_venda,produto,categoria,preco,receita
1,1,2,1,2024-01-15,Smartphone,Eletrônicos,1800,1800
2,3,1,1,2024-02-10,Notebook,Eletrônicos,3500,3500
3,5,3,2,2024-03-05,Cadeira Gamer,Móveis,1200,2400
4,2,4,1,2024-03-20,Monitor,Eletrônicos,900,900
5,1,1,1,2024-04-01,Notebook,Eletrônicos,3500,3500
6,4,2,2,2024-05-15,Smartphone,Eletrônicos,1800,3600
7,3,5,3,2024-06-10,Teclado Mecânico,Periféricos,350,1050
8,2,3,1,2024-07-22,Cadeira Gamer,Móveis,1200,1200
9,5,4,2,2024-08-30,Monitor,Eletrônicos,900,1800
10,4,1,1,2024-09-12,Notebook,Eletrônicos,3500,3500
